category_l1,brand,age_group,age_bucket_primary_filled,desc_age_bucket,desc_age_confidence,weight_age_bucket,weight_age_confidence,kg_lo,kg_hi,kg_mid,age_bucket_enriched,age_source_enriched,age_bucket_final,age_source_final,description_merged
TPCN,Morningkids,Không xác định,,,,,,,,,,missing,,missing,
Hóa mỹ phẩm gia đình,Milaganics (Việt Nam),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩmTên sản phẩm:Toner Tràm trà MILAGANICS 250mlThương hiệu: MILAGANICSXuất xứ thương hiệu: Việt NamThể tích: 250mlNhà sản xuất: CÔNG TY TNHH DƯỢC MỸ PHẨM LABCOSToner Tràm trà MILAGANICS 250ml là toner dành cho người da dầu, da mụn nhạy cảm, lỗ chân lông to của thương hiệu MILAGANICS đến từ Việt Nam. Sản phẩm nổi bật với cơ chế giảm mụn thông minh từ Terpinen 4 ol trong tinh dầu tràm trà, giúp cân bằng độ ẩm và kháng khuẩn cho làn da mụn nhạy cảm.Toner Tràm Trà MILAGANICS – Giảm mụn hiệu quả, ngăn ngừa viêm nhiễmToner Tràm trà MILAGANICS được chiết xuất từ tinh dầu tràm trà chứa hợp chất Terpinen 4 ol với tỷ lệ dẫn xuất lên tới 96%, đây là thành phần kháng khuẩn và chống viêm chính, giúp ngăn ngừa sự phát triển của vi khuẩn gây mụn, làm giảm những nốt mụn đỏ sưng viêm và cải thiện làn da chỉ sau vài tuần sử dụng, hỗ trợ chăm sóc da mụn hiệu quả.Cân bằng độ ẩm và làm dịu da mụn với các chiết xuất thiên nhiênToner chứa sự kết hợp tinh tế của chiết xuất cây Phỉ, chiết xuất Hoa Hồng, chiết xuất Củ Cải Đường và Vitamin B5, giúp cân bằng độ ẩm cho làn da nhạy cảm, giảm viêm và cung cấp dưỡng chất cần thiết, góp phần làm sạch sâu, se khít lỗ chân lông và ngăn ngừa sự tái phát của mụn, giữ cho da luôn mềm mại, tươi mới và khỏe mạnh.Sản phẩm thiên nhiên, an toàn, phù hợp với làn da người ViệtSản phẩm được sản xuất với công nghệ hiện đại và quy trình nghiêm ngặt tại Việt Nam bởi CÔNG TY TNHH DƯỢC MỸ PHẨM LABCOS, không chứa cồn, Paraben, Silicon, đảm bảo an toàn và lành tính với mọi loại da, đặc biệt phù hợp với khí hậu cũng như đặc điểm cơ địa của người Việt, mang đến trải nghiệm chăm sóc da an toàn và hiệu quả.Hướng dẫn sử dụngSau khi làm sạch da mặt với sữa rửa mặt, bạn có thể chọn 1 trong 2 cách dùng:Cách 1: Xịt một lượng toner vừa đủ vào bông tẩy trang, nhẹ nhàng lau khắp mặt theo chiều cấu tạo da.Cách 2: Đặt vòi xịt song song và cách mặt 15-20cm, xịt toner trực tiếp lên da mặt, sau đó vỗ nhẹ để dưỡng chất thẩm thấu sâu vào da. Bạn cũng có thể lau nhẹ lại bằng bông tẩy trang để làm sạch sâu hơn.Hướng dẫn bảo quảnBảo quản sản phẩm nơi khô ráo, thoáng mát.Tránh ánh nắng trực tiếp làm ảnh hưởng tới chất lượng sản phẩm.Lưu ýThử một lượng nhỏ sản phẩm lên vùng da nhỏ trước khi sử dụng để kiểm tra kích ứng.Ngưng sử dụng nếu xuất hiện các dấu hiệu kích ứng hoặc không phù hợp với thành phần sản phẩm.Thành phầnTinh dầu tràm tràChiết xuất cây PhỉChiết xuất Hoa HồngChiết xuất Củ Cải ĐườngVitamin B5"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Notoro,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Gáo nhựa Notoro (INC)         Thương hiệu: INC         Xuất xứ: Việt Nam         Kích cỡ (DxRxC): 273x142x130 mm         Chất liệu: Nhựa PP (Polypropylen) nguyên sinh, hạt màu, phụ gia kháng khuẩn (Ag+)                      Gáo nhựa Notoro (INC) là sản phẩm đồ dùng đa năng dành cho mọi thành viên trong gia đình của thương hiệu INC đến từ Việt Nam. Với phong cách tối giản cùng thiết kế tiện dụng, sản phẩm giúp mang đến không gian sống tinh tế và gọn gàng, hỗ trợ tối ưu cho việc tắm rửa và vệ sinh trong nhà bạn.                     Thiết kế tay cầm chắc chắn hạn chế trơn trượt giúp sử dụng an toàn và tiện lợi            Gáo nhựa Notoro được trang bị tay cầm dài, thiết kế chắc chắn giúp người dùng dễ dàng cầm nắm và thao tác mà không lo bị trơn tuột khi múc nước. Điều này rất tiện lợi và an toàn, đặc biệt khi sử dụng trong môi trường ẩm ướt như nhà tắm hay khu vực rửa chén.            Chất liệu nhựa PP nguyên sinh an toàn cho sức khỏe, thân thiện với môi trường            Sản phẩm sử dụng chất liệu nhựa PP nguyên sinh cùng hạt màu và phụ gia kháng khuẩn Ag+, đảm bảo an toàn cho sức khỏe cả gia đình, bao gồm cả trẻ nhỏ. Nhựa PP là loại nhựa thân thiện với môi trường và có độ bền cao, giúp sản phẩm luôn giữ được độ mới lâu dài.            Phù hợp cho mọi đối tượng, từ người lớn đến trẻ nhỏ tiện lợi sử dụng đa dạng            Với thiết kế thông minh và chất liệu an toàn, chiếc gáo này phù hợp để sử dụng cho cả người lớn và trẻ nhỏ, đáp ứng nhu cầu tắm gội, vệ sinh cá nhân cũng như sử dụng trong nhiều công việc khác trong gia đình. Đây là vật dụng cần thiết giúp mỗi ngày của bạn thêm thuận tiện và sạch sẽ.            Sản xuất theo dây chuyền công nghệ hiện đại, kiểm định chất lượng chuẩn Nhật Bản            Sản phẩm được sản xuất trên hệ thống dây chuyền công nghệ hiện đại, quy trình kiểm tra chất lượng nghiêm ngặt theo tiêu chuẩn Nhật Bản. Điều này đảm bảo mỗi chiếc gáo nhựa khi đến tay người dùng đều đạt tiêu chuẩn an toàn và độ bền cao nhất.               Hướng dẫn sử dụng               Dùng gáo để múc nước khi tắm hoặc vệ sinh.         Tiện lợi múc nước trong khu vực nhà tắm, nhà vệ sinh hoặc các ngóc ngách trong nhà.         Dùng để lấy nước khi cần thiết trong sinh hoạt hàng ngày.                     Hướng dẫn bảo quản               Để sản phẩm nơi khô ráo, thoáng mát nhằm giữ chất lượng nhựa tốt nhất.         Tránh để gần nguồn nhiệt hoặc ánh nắng trực tiếp gây biến dạng sản phẩm.         Vệ sinh sạch sẽ sau mỗi lần sử dụng để đảm bảo vệ sinh an toàn cho gia đình.                     Thành phần               Nhựa PP (Polypropylen) nguyên sinh         Hạt màu         Phụ gia kháng khuẩn (Ag+)"
Hóa mỹ phẩm gia đình,Comfort,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Nước Xả Vải Comfort Hương Nước Hoa Thiên Nhiên Tinh Tế Túi 3.2L         Giá: 226.500 ₫ (đã gồm VAT)         Chất liệu: Công thức Chăm Sóc Chuyên Sâu Ultra Care         Dung tích: 3.2L         Thương hiệu: Comfort                        Nước Xả Vải Comfort Hương Nước Hoa Thiên Nhiên Tinh Tế Túi 3.2L là nước xả vải nổi bật dành cho gia đình của thương hiệu Comfort đến từ Việt Nam. Sản phẩm có công thức Chăm Sóc Chuyên Sâu giúp giữ cho quần áo luôn mềm mại và thơm mát suốt cả ngày dài.                        Công thức chăm sóc chuyên sâu: Bảo vệ độ bền quần áo           Công thức Chăm Sóc Chuyên Sâu Ultra Care thấm sâu vào từng sợi vải, giúp bảo vệ độ bền và giữ màu quần áo lâu phai.               Hương nước hoa thiên nhiên: Khử mùi hiệu quả           Đem đến hương nước hoa thiên nhiên quyến rũ, lôi cuốn, giúp khử đi những mùi hôi khó chịu trên áo quần, lưu hương bền lâu suốt cả ngày.            Làm mềm vải: Mang lại cảm giác dễ chịu           Nước xả làm mềm vải, dưỡng mềm sợi vải vượt trội sau mỗi lần giặt, mang lại cảm giác dễ chịu cho người mặc.            Dễ sử dụng và tiết kiệm: Dạng túi tiện lợi           Dạng túi dung tích lớn, có quai xách tiện dụng, dễ dàng sử dụng và bảo quản, tiết kiệm chi phí cho gia đình bạn.               Hướng dẫn sử dụng               Giặt tay: Sau khi giặt, vắt quần áo cho bớt bọt.         Dùng 1 gói hoặc 1/2 nắp nước xả vải cho 10-15 chiếc quần áo, đảm bảo lượng nước đủ ngập hết quần áo.         Ngâm quần áo 10-15 phút. Sau đó vắt và phơi khô. Không cần xả lại với nước.         Giặt máy: Đổ nước xả vải vào ngăn chứa nước xả vải. Dùng theo hướng dẫn sử dụng của máy giặt.         Điều chỉnh lượng dùng tùy vào số lượng và chất liệu quần áo & chế độ giặt.                     Hướng dẫn bảo quản               Để xa tầm tay trẻ em.         Rửa sạch bằng nước nếu bị dây vào mắt.         Không đổ trực tiếp lên áo quần.                     Lưu ý               Để xa tầm tay trẻ em.         Rửa sạch bằng nước nếu bị dây vào mắt.         Không đổ trực tiếp lên áo quần.                     Thành phần               Chất làm mềm vải         Nước         Nước hoa thiên nhiên         Chất bảo quản         Chất tạo màu"
Hóa mỹ phẩm gia đình,CIF,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩmTên sản phẩm: Kem tẩy đa năng CIFThương hiệu: CIFXuất xứ: Việt NamTrọng lượng: 690gKem tẩy đa năng CIF là sản phẩm kem tẩy đa năng dành cho mọi gia đình của thương hiệu CIF đến từ Việt Nam. Sản phẩm nổi bật với khả năng tẩy rửa mạnh mẽ giúp làm sạch nhanh chóng và hiệu quả các vết bẩn cứng đầu trong nhà bếp và phòng tắm, mang lại vẻ sáng bóng như mới cho mọi bề mặt.Kem tẩy đa năng CIF - Tẩy rửa hiệu quả mọi bề mặt trong nhàKem tẩy đa năng CIF giúp làm sạch nhanh chóng và dễ dàng nhiều loại vết bẩn trong không gian nhà bếp, phòng tắm và các khu vực khác trong nhà. Với công thức chuyên biệt, sản phẩm đánh bay bụi bẩn bám lâu ngày, vết rỉ sét, cặn xà phòng, dầu mỡ hiệu quả mà không gây trầy xước bề mặt, đảm bảo giữ nguyên sự sáng bóng như lúc mới mua.Kem tẩy đa năng CIF - An toàn và đa dạng bề mặt sử dụngSản phẩm phù hợp dùng trên nhiều loại bề mặt khác nhau như bồn rửa chén, quầy bếp, bếp ga, phòng tắm, bồn tắm, lavabo và chậu rửa. Công thức dịu nhẹ, không gây hại da tay khi sử dụng, kèm theo hương chanh tươi mát tạo cảm giác dễ chịu cho người dùng mỗi khi lau chùi, giúp công việc dọn dẹp trở nên đơn giản và tiện lợi hơn.Hướng dẫn sử dụngCho một lượng sản phẩm vừa đủ lên bề mặt cần làm sạch (Không cần phải làm ướt bề mặt).Lau nhẹ bề mặt bằng mút hoặc khăn ẩm.Lau sạch lại bằng khăn ẩm để bề mặt sáng bóng.Hướng dẫn bảo quảnBảo quản sản phẩm ở nơi thoáng mát.Tránh để sản phẩm tiếp xúc trực tiếp với ánh nắng mặt trời.Thành phầnSodium Linear Alkylbenzene SulfonateLaureth-5Calcium Carbonate (Hạt làm sạch từ tự nhiên 40%)Oleic Fatty AcidSodium CarbonatePoly (dimethylsiloxane) and Treated Amorphous SilicaAcrylates CopolymerMethylisothiazolinoneChất thơmCl 47005Nước"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Lock&Lock (Hàn Quốc),Không xác định,,,,,,,,,,missing,,missing,"﻿﻿Hộp thủy tinh LnL Clear Round 870ml có thiết kế nhỏ gọn, chắc chắn sẽ giúp gia đình bạn bảo quản thực phẩm một cách sạch sẽ, đảm bảo những món ăn luôn tươi ngon mỗi ngày. Ưu điểm nổi bật của sản phẩm. Được làm bằng thủy tinh bền đẹp, chịu lực tốt. Chịu sốc nhiệt cao, không bị nổ. Có khả năng chịu nhiệt cao lên đến 400 độ C. Khả năng kín hơi 100%.Hướng dẫn sử dụng . Không nấu trực tiếp trên lửa. Tránh va đập mạnh, cẩn thận cho trẻ sử dụng. Lưu ý mở nắp hộp khi sử dụng trong lò vi sóng, lò nướng ﻿﻿﻿"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,ConCung Good,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Kéo cắt size nhỏ ConCung Good         Màu sắc: Xanh dương         Quy cách đóng gói: 1 cái/vỉ         Thương hiệu: ConCung Good         Xuất xứ sản phẩm: Trung Quốc         Thiết kế và đóng gói: Thái Lan                     Kéo cắt size nhỏ ConCung Good là kéo cắt móng tay dành cho trẻ em của thương hiệu ConCung Good xuất xứ từ Trung Quốc. Thiết kế nhỏ nhắn và an toàn giúp việc cắt móng tay cho bé trở nên dễ dàng hơn.                     Kéo cắt mini với thiết kế an toàn            **Kéo cắt size nhỏ ConCung Good** có kiểu dáng và thiết kế nhỏ nhắn, phù hợp với bàn tay, ngón tay nhỏ xinh của bé. Đầu kéo được thiết kế tròn, tránh trơn trợt trong khi cắt và hạn chế cắt sát vào đầu ngón tay, giúp việc cắt móng tay cho bé trở nên dễ dàng và an toàn hơn.            Chất liệu cao cấp và khả năng chịu nhiệt            G handles are made from PP plastic, ensuring a comfortable grip. The blade is made from stainless steel, providing durability and sharpness for effective use while ensuring safety and hygiene.               Hướng dẫn sử dụng               Dùng để cắt và vệ sinh móng cho bé.                     Hướng dẫn bảo quản               Bảo quản nơi thoáng mát.                     Lưu ý               Tránh xa các nguồn nhiệt, lửa.         Sản phẩm không phải là đồ chơi, phụ huynh không nên để cho bé tự ý sử dụng.                     Thành phần               Tay cầm: nhựa PP         Nắp đậy: nhựa PP         Thân: thép không gỉ"
Thực phẩm cho gia đình,Quaker,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Thức uống yến mạch 3 trong 1 vị dâu berry Quaker bịch 450g         Thương hiệu: Quaker         Trọng lượng: 450g         Phân loại: Thức uống yến mạch         Đối tượng sử dụng: Mọi lứa tuổi                        Thức uống yến mạch 3 trong 1 vị dâu berry Quaker bịch 450g là thức uống yến mạch dành cho mọi lứa tuổi của thương hiệu Quaker đến từ Mỹ. Sản phẩm chứa nhiều chất dinh dưỡng và hương vị dâu berry thơm ngon.                        Thức uống yến mạch dinh dưỡng - Giàu chất xơ, tốt cho tiêu hóa           Thức uống yến mạch Quaker 3 trong 1 cung cấp chất xơ, giúp hỗ trợ tiêu hóa và đảm bảo sức khỏe đường ruột.               Hương vị berry thơm ngon - Thích hợp cho mọi khẩu vị           Với hương vị dâu berry hấp dẫn, sản phẩm không chỉ đáp ứng nhu cầu dinh dưỡng mà còn mang lại trải nghiệm thưởng thức tuyệt vời.               Hướng dẫn sử dụng               Cho 1 gói vào 150ml nước nóng.         Khuấy đều trước khi dùng.                     Hướng dẫn bảo quản               Bảo quản nơi khô ráo thoáng mát.         Tránh ánh nắng trực tiếp.                        Thành phần               Yến mạch         Lúa mì         Đậu nành         Sữa                     Lưu ý               Sản phẩm không sử dụng chất bảo quản hay phẩm màu nhân tạo.         Thích hợp cho người ăn kiêng hoặc cần tăng cường sức khỏe."
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Duy Tân,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Ghế Mini 2 màu (Hồng)         Thương hiệu: Duy Tân         Xuất xứ: Việt Nam         Chất liệu: Nhựa PP         Kích thước: 24,9 x 24,9 x 20,5cm                     Ghế Mini 2 màu (Hồng) là ghế ngồi dành cho trẻ nhỏ của thương hiệu Duy Tân xuất xứ Việt Nam. Thiết kế thông minh mang lại cảm giác thoải mái khi ngồi.                              Ghế Mini 2 màu + Thiết kế thông minh + Cho cảm giác thoải mái khi ngồi            Ghế Mini 2 màu với thiết kế thông minh giúp người sử dụng có cảm giác thoải mái nhất khi ngồi, phù hợp cho nhiều không gian sống và làm việc.            Ghế Mini 2 màu + Chất liệu nhựa PP an toàn + Bảo vệ sức khỏe trẻ nhỏ            Làm từ chất liệu nhựa PP an toàn cho người sử dụng, đặc biệt là trẻ nhỏ, giúp đảm bảo sức khỏe và an toàn trong quá trình sử dụng.            Ghế Mini 2 màu + Màu sắc đa dạng và bắt mắt + Phù hợp với nhiều không gian            Màu sắc đa dạng, bắt mắt của Ghế Mini phù hợp với nhiều không gian sống và làm việc, mang lại sự tươi mới và năng động.               Hướng dẫn sử dụng               Đặt ghế ở vị trí phẳng và ổn định.         Sử dụng ghế cho mọi mục đích ngồi.         Thay đổi vị trí ghế khi cần nhưng tránh va chạm mạnh.                     Lưu ý               Tránh va đập mạnh.         Không để ghế ở những nơi ẩm ướt.         Xem xét sự an toàn khi trẻ sử dụng ghế.                     Thành phần               Nhựa PP"
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Tã,Merries Nhật,Không xác định,,,,,,,,,,missing,,missing,"﻿﻿﻿﻿﻿﻿﻿﻿Tã quần Merries với chất liệu bông siêu mềm mại và thiết kế dạng quần thông minh sẽ giúp mẹ bảo vệ và chăm sóc làn da con yêu một cách tốt nhất. ﻿Ưu điểm nổi bật. Bỉm quần có cạp bỉm thiết kế dạng gấp nếp, giúp thoát hơi bí ra ngoài dễ dàng, bảo vệ da của trẻ khỏi bị hăm do bí hơi;. Sản phẩm được làm từ chất liệu thoáng khí kèm thiết kế thông minh giúp không khí được lưu thông và ngăn chặn vi khuẩn phát triển;. Độ co dãn gấp 2,5 lần, giúp trẻ có thể tự do trong mọi hoạt động;. Thiết kế thông minh giúp bỉm tự động ôm bó lấy phần hông của trẻ;. Thiết kế 2 tầng thấm hút, giúp hút nhanh và nhiều phù hợp với các bé lớn;. Miếng dính cuộn bỉm giúp cuộn bỉm lại một cách gọn nhất sau khi bỉm đầy.Hướng dẫn sử dụng. Quan sát dải màu dọc thân bỉm đổi màu báo hiệu bé đã tè/ị đầy bỉm để biết thời điểm cần thay bỉm cho bé.. Kiểm tra và thay bỉm cho bé sớm nhất có thể, tránh để tình trạng bé đeo bỉm bẩn lâu gây hăm/ngứa da và tổn hại làn da mỏng manh của bé.. Phía mặt sau của bỉm có miếng dán để cuộn bỉm sau khi dùng. Tránh dán trực tiếp miếng dán này lên da của bé.Lưu ý: Để tránh tình trạng bé không biết mà cắn bỉm gây nghẹn, mẹ cần để bỉm ở xa tầm tay bé, và bỉm sau khi dùng cần vứt luôn.﻿﻿﻿"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Lock&Lock (Hàn Quốc),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Bộ cây lau nhà xoay tay Compact Spin Mop,L&L         Thương hiệu: LocknLock         Xuất xứ: Trung Quốc         Kích cỡ: 46x27x25 cm         Chất liệu: Thùng giặt: Nhựa PP, cây lau: thép không gỉ, bông lau: sợi bông                        Bộ cây lau nhà xoay tay Compact Spin Mop,L&L là bộ cây lau nhà dành cho các chị em phụ nữ của thương hiệu LocknLock đến từ Trung Quốc. Với thiết kế nhỏ gọn và tính năng dễ sử dụng, sản phẩm sẽ giúp bạn vệ sinh nhà cửa một cách hiệu quả.                     Kích cỡ nhỏ và trọng lượng nhẹ           Bộ cây lau nhà Compact Spin Mop có kích cỡ nhỏ gọn, trọng lượng nhẹ giúp dễ dàng di chuyển và tiện lợi cho việc lưu trữ.               Thiết kế phân chia hai vị trí giặt và vắt riêng biệt           Với thiết kế độc đáo, bạn có thể giặt và vắt bông lau mà không cần chạm tay vào nước bẩn, tăng cường hiệu suất làm sạch.               Chất liệu bền đẹp, an toàn           Thép không gỉ giúp sản phẩm có độ bền cao và an toàn cho sức khỏe, phù hợp để sử dụng trong gia đình.            Nguyên tắc thiết kế thông minh           Bộ cây lau được thiết kế với lồng vắt tháo rời hỗ trợ việc vệ sinh và bảo quản dễ dàng hơn.            Tăng hiệu suất dọn dẹp           Thiết kế đầu lau xoay 360 độ giúp làm sạch mọi ngóc ngách trong ngôi nhà bạn, tiết kiệm thời gian nấu bếp.               Hướng dẫn sử dụng               Tránh để gần nơi có nhiệt độ cao.         Không sử dụng chất tẩy rửa mạnh để làm sạch sản phẩm.         Không giặt bằng máy giặt, chỉ giặt bằng tay với bột giặt thông thường.         Bảo quản xa tầm tay trẻ em.                     Hướng dẫn bảo quản               Giữ sản phẩm ở nơi khô ráo, tránh ánh nắng mặt trời.         Rửa sạch sau khi sử dụng để đảm bảo độ bền.         Tránh đặt ở nơi có nhiệt độ cao nhằm bảo vệ chất liệu sản phẩm.                     Lưu ý               Không giặt bằng máy giặt, chỉ giặt bằng tay với bột giặt thông thường.         Bảo quản xa tầm tay trẻ em.                     Thành phần               Thùng giặt: Nhựa PP         Cây lau: thép không gỉ         Bông lau: sợi bông"
Babycare,Lock&Lock (Hàn Quốc),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Bộ cây lau nhà xoay tay Compact Spin Mop,L&L         Thương hiệu: LocknLock         Xuất xứ: Trung Quốc         Kích cỡ: 32x10x112 - 136cm         Chất liệu: Inox, Nhựa PP, ABS, Sợi bông Microfiber                     Bộ cây lau nhà xoay tay Compact Spin Mop,L&L là cây lau nhà dành cho mỗi gia đình của thương hiệu LocknLock đến từ Trung Quốc. Sản phẩm sở hữu thiết kế chắc chắn và độ bền cao, là trợ thủ đắc lực trong việc vệ sinh nhà cửa sạch sẽ của bạn.                        Thiết kế thùng chứa nước nhỏ gọn và sang trọng            Thùng chứa nước được thiết kế nhỏ gọn, không chỉ làm cho việc vệ sinh trở nên dễ dàng hơn mà còn tô điểm cho không gian sống của bạn.            Nắp thùng có thể tháo rời bằng tay dễ dàng            Bạn có thể tháo rời nắp thùng một cách thuận tiện mà không cần phải sử dụng công cụ nào khác, giúp quá trình vệ sinh trở nên linh hoạt hơn.            Bông lau microfiber lau sạch mọi bụi bẩn            Bông lau làm từ sợi microfiber có khả năng thu hút và giữ lại bụi bẩn hiệu quả, mang đến cho bạn một không gian sống trong lành.            Có hai miếng lau thay thế            Sản phẩm đi kèm với hai miếng lau thay thế giúp bạn tiết kiệm thời gian và công sức trong việc bảo trì và vệ sinh đồ dùng.               Hướng dẫn sử dụng               Đặc biệt cẩn thận khi quét các vật liệu dễ vỡ.         Vui lòng không đặt sản phẩm dưới ánh nắng trực tiếp hoặc gần lửa.         Sản phẩm chỉ sử dụng cho mục đích cơ bản. Không sử dụng cho các mục đích khác.         Nếu lượng nước quá nhiều, việc giặt và vắt nước có thể gặp khó khăn. Vì vậy, không sử dụng vượt quá mức nước tối đa quy định.         Vui lòng mở chốt cài đang đóng trước khi giặt và vắt nước.                     Hướng dẫn bảo quản               Để nơi khô ráo sau khi sử dụng.         Tránh tiếp xúc với hóa chất có tính ăn mòn.         Giặt bông lau thường xuyên để đảm bảo vệ sinh.                     Lưu ý               Kiểm tra tình trạng sản phẩm trước khi sử dụng.         Không sử dụng khi sản phẩm đã hư hỏng hoặc không còn chức năng.                     Thành phần               Inox         Nhựa PP         ABS         Sợi bông Microfiber"
Babycare,Lock&Lock (Hàn Quốc),Không xác định,,,,,,,,,,missing,,missing,"﻿﻿Bộ cây lau nhà L&L với thiết kế chắc chắn và độ bền cao sẽ là trợ thủ đắc lực trong việc vệ sinh nhà cửa sạch sẽ của bạn.  Ưu điểm nổi bật của sản phẩm- Thùng giặt và vắt nước gọn nhẹ- Sử dụng an toàn theo kiểu xoay tay với độ bền hoàn hảo- Giúp giặt sạch và vắt nhanh khô hơn mà không tốn nhiều công sức.- Tiết kiệm không gian và giặt, vắt chỉ trong một bướcHướng dẫn sử dụng  ‘- Không đặt sản phẩm dưới nắng trực tiếp hoặc gần lửa, sau khi sử dụng vui lòng vắt kỹ nước để ngăn chặn vi khuẩn- Khi giặt hoặc vắt nước vui lòng dựng đứng cây lau- Tránh xa tầm tay trẻ em- Không sử dụng các chất tẩy mạnh như nước javen, chất benzen cho sản phẩm này (đây là nguyên nhân gây mất màu, dễ mục sản phẩm)Thông tin chi tiết Tên sản phẩm: Bộ cây lau nhà Blu Gry VN Mop, LnLThương hiệu: LocknLockXuất xứ: Việt Nam Kích cỡ: 23.5x32.5 cm; 25x120.5 cmChất liệu: . 1 Thùng nhựa PP + ABS + TPR + POM + PVC + PA. 1 Cây lau: nhựa PP + Steel + PA 3 Bông lau (2 rời, 1 kèm cây lau): nhựa PP + Microfiber"
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Inochi,Không xác định,,,,,,,,,,missing,,missing,"﻿﻿﻿Bình nước cao cấp Biwa 1.6L (INC, Xanh nhạt) với thiết kế nhỏ gọn, tinh tế và được làm từ chất liệu an toàn với sức khỏe sẽ là sản phẩm vô cùng hữu ích giúp gia đình bạn đựng nước để ở nhà hay để tại văn phòng làm việcHướng dẫn sử dụng Dùng để đựng nướcThông tin chi tiết Tên sản phẩm: Bình nước cao cấp Biwa 1.6L (INC, Xanh nhạt)Thương hiệu: INCXuất xứ: Việt Nam Kích cỡ: 159 x 103 x 271 mmChất liệu: Nhựa AS nguyên sinhĐến ngay cửa hàng mẹ và bé Con Cưng gần đây để tìm mua sản phẩm này nhé!﻿﻿﻿﻿"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Nhựa Tân Phú,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Hộp thuỷ tinh tròn Nikko 620 ml (INC)         Thương hiệu: INC         Xuất xứ: Trung Quốc         Kích cỡ: 160 x 160 x 70 mm         Dung tích: 620 ml         Thành phần: Nhựa PP nguyên sinh, thủy tinh, Roon silicon                        Hộp thuỷ tinh tròn Nikko 620 ml (INC) là hộp thuỷ tinh dành cho tất cả các gia đình của thương hiệu INC xuất xứ từ Trung Quốc. Điểm nổi bật là thiết kế phong cách tối giản, giúp không gian sống trở nên tinh tế hơn.                        Hộp thuỷ tinh chịu nhiệt + Giữ thực phẩm tươi ngon           Hộp Thủy Tinh Chịu Nhiệt Nắp Gài Nikko là vật dụng nhà bếp thân thiện, giúp bảo quản thực phẩm hoàn hảo và luôn tươi ngon.               Chất liệu thủy tinh cao cấp + Dễ dàng vệ sinh           Sản phẩm được làm bằng chất liệu thủy tinh chịu nhiệt cao cấp, hạn chế nứt vỡ và không bị bám mùi, bám màu thức ăn, giúp bạn dễ dàng vệ sinh, chùi rửa sau mỗi lần sử dụng.               An toàn cho sức khoẻ + Thân thiện với môi trường           Hộp thủy tinh hoàn toàn không chứa BPA, Melamine và Dioxin, an toàn với sức khỏe người sử dụng và thân thiện với môi trường.            Thiết kế nắp đậy kín hơi + Ngăn mùi hiệu quả           Hộp có thiết kế nắp đậy với cấu tạo khóa 4 cạnh kín hơi cùng gioăng Silicone chắc chắn, giúp không để lại mùi khó chịu trong tủ lạnh, không bị tràn hay đổ ra ngoài ngay cả khi hộp bị nghiêng.            Sử dụng đa năng + Tiện lợi khi sử dụng           Hộp thủy tinh chịu nhiệt Nikko có thể sử dụng an toàn trong cả lò vi sóng, lò nướng và máy rửa chén rất tiện lợi.               Hướng dẫn sử dụng               Dùng để đựng thực phẩm trong tủ lạnh.         Tránh xa nguồn nhiệt.                     Lưu ý               Tránh xa nguồn nhiệt.                     Thành phần               Nhựa PP nguyên sinh         Thủy tinh         Roon silicon"
